factor,cell_type,sign,gene,loading
0,Astrocyte,1.0,PPP1R36,11.015685540688295
0,Astrocyte,1.0,MCUR1,10.880071148884825
0,Astrocyte,1.0,HHLA1,10.630378627837628
0,Astrocyte,1.0,LMLN,10.600369600210447
0,Astrocyte,1.0,EGLN3,9.678605578099926
0,Astrocyte,1.0,FBXO2,9.664311107049386
0,Astrocyte,1.0,GLIPR1,9.585504313018815
0,Astrocyte,1.0,PVALEF,9.336363135161756
0,Astrocyte,1.0,MYL7,9.297093229473795
0,Astrocyte,1.0,MYH9,9.224567040901068
0,Astrocyte,1.0,KCNH1,9.162205622619943
0,Astrocyte,1.0,LSM5,9.13575863447895
0,Astrocyte,1.0,EIF4EBP1,9.018442195982935
0,Astrocyte,1.0,GDAP1,8.868676974407368
0,Astrocyte,1.0,EIF3L,8.762942404513698
0,Astrocyte,1.0,FAM169A,8.668737414961305
0,Astrocyte,1.0,EBP,8.654861282049204
0,Astrocyte,1.0,PPT1,8.628529702404352
0,Astrocyte,1.0,KLHDC8A,8.608566068448793
0,Astrocyte,1.0,MRPL2,8.408205528029828
0,Astrocyte,1.0,GPX7,8.40594192593932
0,Astrocyte,1.0,ITGA3,8.40322407492519
0,Astrocyte,1.0,MGST3,8.293809820168553
0,Astrocyte,1.0,PNO1,8.282439320782714
0,Astrocyte,1.0,NWD1,8.1885036604057
0,Astrocyte,1.0,FMO5,8.18711647962195
0,Astrocyte,1.0,NUDT17,8.133536392089335
0,Astrocyte,1.0,PUM3,8.13102734872437
0,Astrocyte,1.0,ZNF626,8.016764597612902
0,Astrocyte,1.0,FUOM,7.749643647458317
0,Astrocyte,-1.0,NNT,-0.010401439969234953
0,Astrocyte,-1.0,TRIM69,-0.019249160711556093
0,Astrocyte,-1.0,CMTM1,-0.020318881089310084
0,Astrocyte,-1.0,ARRDC4,-0.025097865164614347
0,Astrocyte,-1.0,RRP9,-0.03430999811207281
0,Astrocyte,-1.0,PCNX1,-0.06650137770976948
0,Astrocyte,-1.0,MNX1,-0.06650137770977822
0,Astrocyte,-1.0,MRAS,-0.06650137770977887
0,Astrocyte,-1.0,PRPF8,-0.0665013777097803
0,Astrocyte,-1.0,MLLT10,-0.06650137770978053
0,Astrocyte,-1.0,RBMX,-0.06650137770978194
0,Astrocyte,-1.0,RGS10,-0.06650137770978204
0,Astrocyte,-1.0,RHBDL3,-0.06650137770978341
0,Astrocyte,-1.0,RASGEF1A,-0.06650137770978351
0,Astrocyte,-1.0,RASSF4,-0.0665013777097842
0,Astrocyte,-1.0,PDS5B,-0.06650137770978425
0,Astrocyte,-1.0,NIF3L1,-0.0665013777097848
0,Astrocyte,-1.0,PPP3CA,-0.06650137770978506
0,Astrocyte,-1.0,PCDHGC3,-0.06650137770978531
0,Astrocyte,-1.0,PLEKHA2,-0.06650137770978574
0,Astrocyte,-1.0,PARVA,-0.06650137770978584
0,Astrocyte,-1.0,REC8,-0.06650137770978624
0,Astrocyte,-1.0,PLLP,-0.0665013777097866
0,Astrocyte,-1.0,RHBDF2,-0.0665013777097872
0,Astrocyte,-1.0,N4BP3,-0.0665013777097873
0,Astrocyte,-1.0,NDUFAF2,-0.06650137770978776
0,Astrocyte,-1.0,RALGAPA1,-0.0665013777097881
0,Astrocyte,-1.0,RUNX2,-0.0665013777097888
0,Astrocyte,-1.0,RBM24,-0.06650137770978894
0,Astrocyte,-1.0,PICK1,-0.06650137770978908
0,Endothelial,1.0,HTR1E,6.0165888924988655
0,Endothelial,1.0,SHC2,5.551254602444748
0,Endothelial,1.0,IL1R1,4.75708011819524
0,Endothelial,1.0,MCUB,4.385981121316232
0,Endothelial,1.0,THPO,4.3590076586208735
0,Endothelial,1.0,LRRC1,4.2463649947031685
0,Endothelial,1.0,FBXO11,4.1491310819907445
0,Endothelial,1.0,PDS5B,4.047293425500188
0,Endothelial,1.0,MAPK10,4.001668213867749
0,Endothelial,1.0,GPC5,3.8264054722409537
0,Endothelial,1.0,ZNF426,3.8259106548240758
0,Endothelial,1.0,ZFAND5,3.6715549264629823
0,Endothelial,1.0,PCNX1,3.598929936315863
0,Endothelial,1.0,FSTL5,3.537176060056311
0,Endothelial,1.0,KCNN4,3.1578146183477176
0,Endothelial,1.0,FAM229B,3.1252377237196685
0,Endothelial,1.0,ST8SIA1,3.0968073578521267
0,Endothelial,1.0,TRIM26,3.0606137506974647
0,Endothelial,1.0,ATP6V1B2,3.0190352574495525
0,Endothelial,1.0,KCND2,3.0122730247224228
0,Endothelial,1.0,EFS,3.0042820599544586
0,Endothelial,1.0,SYT1,2.9257118015843284
0,Endothelial,1.0,ADRA1D,2.8430011651503415
0,Endothelial,1.0,SLC5A3,2.8164020327880332
0,Endothelial,1.0,STAR,2.787223113630047
0,Endothelial,1.0,AVIL,2.759208313186144
0,Endothelial,1.0,METTL14,2.747228742880356
0,Endothelial,1.0,PRLHR,2.740448586259556
0,Endothelial,1.0,LPIN3,2.710070898167934
0,Endothelial,1.0,PPP1R16B,2.649208055451254
0,Endothelial,-1.0,TTF1,-0.0035025535675948074
0,Endothelial,-1.0,TBXAS1,-0.003502553567596129
0,Endothelial,-1.0,ZNF766,-0.0035025535675963283
0,Endothelial,-1.0,SLC2A5,-0.0035025535675976267
0,Endothelial,-1.0,ZNF644,-0.003502553567599669
0,Endothelial,-1.0,TMC3,-0.0035025535675996776
0,Endothelial,-1.0,TTLL9,-0.003502553567600076
0,Endothelial,-1.0,VWA7,-0.003502553567600166
0,Endothelial,-1.0,THEMIS2,-0.0035025535676014696
0,Endothelial,-1.0,SYT10,-0.003502553567601687
0,Endothelial,-1.0,SHC3,-0.0035025535676018456
0,Endothelial,-1.0,TSPAN5,-0.003502553567602503
0,Endothelial,-1.0,TIFA,-0.003502553567604997
0,Endothelial,-1.0,SP4,-0.0035025535676052075
0,Endothelial,-1.0,ZNF775,-0.0035025535676052842
0,Endothelial,-1.0,SMARCA2,-0.0035025535676058662
0,Endothelial,-1.0,ZSCAN21,-0.0035025535676058753
0,Endothelial,-1.0,ZNF433,-0.003502553567606476
0,Endothelial,-1.0,TRPC4,-0.0035025535676065545
0,Endothelial,-1.0,WASF2,-0.003502553567606978
0,Endothelial,-1.0,TINAGL1,-0.003502553567607173
0,Endothelial,-1.0,SLAIN1,-0.0035025535676072514
0,Endothelial,-1.0,TIAL1,-0.0035025535676074006
0,Endothelial,-1.0,SESN1,-0.003502553567607904
0,Endothelial,-1.0,SREBF1,-0.003502553567608108
0,Endothelial,-1.0,SNX27,-0.0035025535676083057
0,Endothelial,-1.0,STEAP1,-0.003502553567608691
0,Endothelial,-1.0,STK24,-0.0035025535676087675
0,Endothelial,-1.0,VPS13D,-0.003502553567608867
0,Endothelial,-1.0,ZDHHC9,-0.0035025535676089813
0,Excitatory,1.0,HSPB3,13.465801098549733
0,Excitatory,1.0,HES2,12.97606934114724
0,Excitatory,1.0,HDGFL3,12.583924945805677
0,Excitatory,1.0,ADRA1D,12.320553500950128
0,Excitatory,1.0,FLNA,11.960185327898884
0,Excitatory,1.0,DDOST,11.768421832207155
0,Excitatory,1.0,CCL2,11.696213955352594
0,Excitatory,1.0,BTN3A3,11.6320646589736
0,Excitatory,1.0,ANKH,11.429569326469624
0,Excitatory,1.0,LSM5,11.355542881236287
0,Excitatory,1.0,LPIN2,11.13354121871728
0,Excitatory,1.0,AEN,11.07453574425506
0,Excitatory,1.0,ALG11,11.015281315168734
0,Excitatory,1.0,CFAP43,11.007565473924137
0,Excitatory,1.0,COQ4,10.897102775660763
0,Excitatory,1.0,MGST3,10.695377807227244
0,Excitatory,1.0,KIF3B,10.632076752850883
0,Excitatory,1.0,MINAR2,10.623095504127681
0,Excitatory,1.0,CNTNAP2,10.569205245558495
0,Excitatory,1.0,LHX6,10.351107623042791
0,Excitatory,1.0,HSCB,10.286054474394874
0,Excitatory,1.0,KLHDC2,10.282254172360759
0,Excitatory,1.0,AHSG,10.265222225470046
0,Excitatory,1.0,ITGAV,10.244667038733189
0,Excitatory,1.0,DEGS2,10.227300970524036
0,Excitatory,1.0,IGBP1,10.202283380854695
0,Excitatory,1.0,HMCN2,10.186904355319033
0,Excitatory,1.0,CARMIL3,10.101375212113544
0,Excitatory,1.0,DNAJB9,10.027114470854817
0,Excitatory,1.0,COL21A1,9.948041062353035
0,Excitatory,-1.0,ZMAT1,-0.01768429845178582
0,Excitatory,-1.0,ZNF69,-0.03761802713688049
0,Excitatory,-1.0,ZBTB38,-0.03765286748422211
0,Excitatory,-1.0,MAL2,-0.040654970067354676
0,Excitatory,-1.0,NPTX2,-0.04523257916043309
0,Excitatory,-1.0,SMAP1,-0.04717054237993985
0,Excitatory,-1.0,PSMF1,-0.052982709829812506
0,Excitatory,-1.0,BUB1,-0.05461939203775617
0,Excitatory,-1.0,SLC13A3,-0.05690682801067273
0,Excitatory,-1.0,ZNF699,-0.05792645946208554
0,Excitatory,-1.0,DPY19L3,-0.06034615506981082
0,Excitatory,-1.0,AANAT,-0.06513880651782178
0,Excitatory,-1.0,SCCPDH,-0.06620565787699952
0,Excitatory,-1.0,CHD1L,-0.09257349199808368
0,Excitatory,-1.0,PTPRU,-0.09541078963866377
0,Excitatory,-1.0,RADX,-0.09541078963867432
0,Excitatory,-1.0,PPIL2,-0.09541078963868256
0,Excitatory,-1.0,PHYH,-0.09541078963868628
0,Excitatory,-1.0,POGZ,-0.0954107896386863
0,Excitatory,-1.0,NBPF3,-0.09541078963868685
0,Excitatory,-1.0,ROCK2,-0.09541078963868818
0,Excitatory,-1.0,RAPGEF6,-0.09541078963868961
0,Excitatory,-1.0,NAT10,-0.09541078963868972
0,Excitatory,-1.0,MYOZ2,-0.0954107896386923
0,Excitatory,-1.0,SCD,-0.0954107896386925
0,Excitatory,-1.0,MMRN2,-0.09541078963869422
0,Excitatory,-1.0,PPM1E,-0.09541078963869429
0,Excitatory,-1.0,MSN,-0.095410789638695
0,Excitatory,-1.0,MMP9,-0.09541078963869526
0,Excitatory,-1.0,NRAP,-0.09541078963869537
0,Inhibitory,1.0,ADRA1D,12.765958560616577
0,Inhibitory,1.0,BAHD1,12.305407754746238
0,Inhibitory,1.0,CX3CL1,12.04830302919869
0,Inhibitory,1.0,C1orf54,11.684551154067929
0,Inhibitory,1.0,ENAH,11.483471361638676
0,Inhibitory,1.0,FLNA,11.276481602328047
0,Inhibitory,1.0,CAMK2G,10.633503751555242
0,Inhibitory,1.0,EDA,10.535854232410916
0,Inhibitory,1.0,MGST3,10.436420623614117
0,Inhibitory,1.0,DARS2,10.334485092502778
0,Inhibitory,1.0,ENTPD5,10.16215520655094
0,Inhibitory,1.0,E2F5,10.162030214942492
0,Inhibitory,1.0,AHSG,10.13500289375555
0,Inhibitory,1.0,CENPT,10.048470706614982
0,Inhibitory,1.0,LPIN2,9.910707233711351
0,Inhibitory,1.0,DBNDD2,9.707583053597475
0,Inhibitory,1.0,ALG14,9.57680703621059
0,Inhibitory,1.0,HDGFL3,9.546090290977421
0,Inhibitory,1.0,AKR1E2,9.047010653810865
0,Inhibitory,1.0,ITGA10,9.016705719765357
0,Inhibitory,1.0,TMEM213,8.922567439902574
0,Inhibitory,1.0,ARHGAP18,8.84680909113286
0,Inhibitory,1.0,AEN,8.838790461302615
0,Inhibitory,1.0,HSCB,8.773257048451658
0,Inhibitory,1.0,GEMIN5,8.763257373939355
0,Inhibitory,1.0,GAB1,8.715219492224612
0,Inhibitory,1.0,CREBZF,8.676386421954112
0,Inhibitory,1.0,AMZ2,8.596653329368102
0,Inhibitory,1.0,DAB1,8.541931504199619
0,Inhibitory,1.0,CDS1,8.529770536841374
0,Inhibitory,-1.0,RILPL1,-0.0014758837223539103
0,Inhibitory,-1.0,SLCO1A2,-0.03987854909936375
0,Inhibitory,-1.0,CAVIN3,-0.04115308889409523
0,Inhibitory,-1.0,KLHL14,-0.0630334728966372
0,Inhibitory,-1.0,ETV1,-0.0681636039023798
0,Inhibitory,-1.0,DDX27,-0.08170061903688658
0,Inhibitory,-1.0,TMED8,-0.11980382124134012
0,Inhibitory,-1.0,EMID1,-0.12985467323512556
0,Inhibitory,-1.0,ZNF215,-0.13527883834586604
0,Inhibitory,-1.0,FTH1,-0.18296990786377662
0,Inhibitory,-1.0,SLC8B1,-0.19115398836151468
0,Inhibitory,-1.0,FAM200A,-0.2129398936599252
0,Inhibitory,-1.0,RAI1,-0.22610506937212543
0,Inhibitory,-1.0,HLA-E,-0.2420935075342366
0,Inhibitory,-1.0,LETMD1,-0.2588773460263425
0,Inhibitory,-1.0,SERHL2,-0.2734507735882166
0,Inhibitory,-1.0,SENP6,-0.27345077358822034
0,Inhibitory,-1.0,WNT5A,-0.27345077358822795
0,Inhibitory,-1.0,SGTA,-0.2734507735882337
0,Inhibitory,-1.0,TMEFF1,-0.2734507735882388
0,Inhibitory,-1.0,UHRF1,-0.2734507735882389
0,Inhibitory,-1.0,TTC28,-0.2734507735882405
0,Inhibitory,-1.0,SH3GL1,-0.2734507735882435
0,Inhibitory,-1.0,TEX9,-0.27345077358824355
0,Inhibitory,-1.0,ZMYND11,-0.27345077358824516
0,Inhibitory,-1.0,SPATA9,-0.2734507735882455
0,Inhibitory,-1.0,TENM2,-0.2734507735882455
0,Inhibitory,-1.0,ZNF596,-0.27345077358824593
0,Inhibitory,-1.0,SNX10,-0.2734507735882469
0,Inhibitory,-1.0,SREK1,-0.27345077358824693
0,Microglia-PVM,1.0,STIM2,7.653568170890216
0,Microglia-PVM,1.0,ZNF835,6.246833464021835
0,Microglia-PVM,1.0,KLHL35,5.442900699562567
0,Microglia-PVM,1.0,SLC26A1,5.41665965231983
0,Microglia-PVM,1.0,ZNF569,5.162626532963273
0,Microglia-PVM,1.0,LSM5,5.022486449628685
0,Microglia-PVM,1.0,BMT2,4.830021931424161
0,Microglia-PVM,1.0,KCNQ3,4.791561385992137
0,Microglia-PVM,1.0,TM7SF3,4.681173699525795
0,Microglia-PVM,1.0,PTPN13,4.484895576060362
0,Microglia-PVM,1.0,PPIL2,4.439450330148126
0,Microglia-PVM,1.0,NCAN,4.3339108092355225
0,Microglia-PVM,1.0,MANF,4.188963090915303
0,Microglia-PVM,1.0,SCRN3,4.144025938956051
0,Microglia-PVM,1.0,SIL1,3.938482794410767
0,Microglia-PVM,1.0,VPS45,3.9207445934320653
0,Microglia-PVM,1.0,PHYH,3.8090623727044495
0,Microglia-PVM,1.0,ZDHHC23,3.793283384526753
0,Microglia-PVM,1.0,AIM2,3.77470882542331
0,Microglia-PVM,1.0,MAMLD1,3.763318944621957
0,Microglia-PVM,1.0,STEAP1,3.728588474861987
0,Microglia-PVM,1.0,SPAG5,3.608197862262837
0,Microglia-PVM,1.0,FAM13B,3.5364263204530504
0,Microglia-PVM,1.0,TDRD3,3.4744330629910016
0,Microglia-PVM,1.0,ZMYM2,3.3901528250727075
0,Microglia-PVM,1.0,NOP56,3.3775899952377633
0,Microglia-PVM,1.0,MEPCE,3.375671697909698
0,Microglia-PVM,1.0,ADORA1,3.328551692216294
0,Microglia-PVM,1.0,MMP15,3.303906808218708
0,Microglia-PVM,1.0,TIFA,3.133348003403791
0,Microglia-PVM,-1.0,SEC11A,-0.00037315002608926675
0,Microglia-PVM,-1.0,CNTN4,-0.0015128630913331903
0,Microglia-PVM,-1.0,DOK6,-0.013975438687515168
0,Microglia-PVM,-1.0,MPP4,-0.017911161542613897
0,Microglia-PVM,-1.0,PLA2G4A,-0.017911161542626508
0,Microglia-PVM,-1.0,SEC11C,-0.017911161542626845
0,Microglia-PVM,-1.0,OLFML2B,-0.017911161542629592
0,Microglia-PVM,-1.0,PHTF1,-0.01791116154263037
0,Microglia-PVM,-1.0,PPP4R1,-0.0179111615426326
0,Microglia-PVM,-1.0,MOSMO,-0.01791116154263332
0,Microglia-PVM,-1.0,NSA2,-0.01791116154263374
0,Microglia-PVM,-1.0,RAD54L,-0.01791116154263404
0,Microglia-PVM,-1.0,OGFOD1,-0.01791116154263451
0,Microglia-PVM,-1.0,PCLO,-0.01791116154263479
0,Microglia-PVM,-1.0,S1PR3,-0.017911161542634953
0,Microglia-PVM,-1.0,RBFOX2,-0.0179111615426352
0,Microglia-PVM,-1.0,RETREG2,-0.017911161542635775
0,Microglia-PVM,-1.0,MS4A13,-0.017911161542637118
0,Microglia-PVM,-1.0,NTS,-0.01791116154263845
0,Microglia-PVM,-1.0,RAP1GDS1,-0.01791116154263948
0,Microglia-PVM,-1.0,PRPF38A,-0.017911161542639546
0,Microglia-PVM,-1.0,NOL4,-0.017911161542640178
0,Microglia-PVM,-1.0,RAD50,-0.017911161542640292
0,Microglia-PVM,-1.0,NFKBIZ,-0.017911161542641097
0,Microglia-PVM,-1.0,S100A6,-0.017911161542641565
0,Microglia-PVM,-1.0,PDE4D,-0.017911161542641725
0,Microglia-PVM,-1.0,RGL2,-0.017911161542641784
0,Microglia-PVM,-1.0,RRAGB,-0.017911161542641885
0,Microglia-PVM,-1.0,RESF1,-0.017911161542641964
0,Microglia-PVM,-1.0,MOB3A,-0.017911161542642155
0,OPC,1.0,GK5,7.041916664363396
0,OPC,1.0,NIF3L1,6.95702490291213
0,OPC,1.0,AHSG,6.601481941125195
0,OPC,1.0,LSM5,6.301734571575947
0,OPC,1.0,GLIPR1L1,5.6671117333702155
0,OPC,1.0,PLCE1,5.454130637165923
0,OPC,1.0,ADAMTS6,5.25505560533954
0,OPC,1.0,FGF10,5.050622279724061
0,OPC,1.0,SYT1,4.605394128094958
0,OPC,1.0,VWA7,4.377262520227825
0,OPC,1.0,SLAIN1,4.127521663385644
0,OPC,1.0,SORT1,3.8749819427159364
0,OPC,1.0,FER,3.850290390039789
0,OPC,1.0,CLPTM1L,3.5798936578120197
0,OPC,1.0,OGFOD1,3.4561365555146764
0,OPC,1.0,TMA16,3.4210799314894245
0,OPC,1.0,SYT2,3.412135850239655
0,OPC,1.0,CSAD,3.284771496291668
0,OPC,1.0,LCOR,3.262156187332495
0,OPC,1.0,ARCN1,3.0947652038962117
0,OPC,1.0,FYN,3.073449223890173
0,OPC,1.0,IMPA1,3.051739072478534
0,OPC,1.0,MFSD2B,3.035555651327537
0,OPC,1.0,TTC28,3.0110611913637912
0,OPC,1.0,NSA2,3.003310941631937
0,OPC,1.0,SREBF1,2.9868689166296756
0,OPC,1.0,TTF1,2.9846879238947945
0,OPC,1.0,NBPF3,2.8741151108175633
0,OPC,1.0,POP5,2.74759848993792
0,OPC,1.0,PDCD1LG2,2.714028984082415
0,OPC,-1.0,ZNF641,-0.0009528092813732087
0,OPC,-1.0,YWHAH,-0.0009528092813751986
0,OPC,-1.0,SERHL2,-0.0009528092813783848
0,OPC,-1.0,UBXN7,-0.0009528092813784468
0,OPC,-1.0,VLDLR,-0.0009528092813795289
0,OPC,-1.0,ZDHHC22,-0.0009528092813842386
0,OPC,-1.0,TCTE1,-0.0009528092813844533
0,OPC,-1.0,ZNF23,-0.0009528092813847402
0,OPC,-1.0,TDRD3,-0.0009528092813848614
0,OPC,-1.0,SUN2,-0.0009528092813858361
0,OPC,-1.0,SOX6,-0.0009528092813858943
0,OPC,-1.0,TSC22D3,-0.0009528092813865009
0,OPC,-1.0,UBE2Q2,-0.0009528092813872055
0,OPC,-1.0,SLC26A1,-0.0009528092813872949
0,OPC,-1.0,TBL3,-0.0009528092813880996
0,OPC,-1.0,WDR64,-0.0009528092813888645
0,OPC,-1.0,STXBP5L,-0.000952809281391087
0,OPC,-1.0,SNX25,-0.0009528092813911282
0,OPC,-1.0,STK4,-0.0009528092813915217
0,OPC,-1.0,TRIM47,-0.0009528092813917601
0,OPC,-1.0,STAMBP,-0.0009528092813922477
0,OPC,-1.0,WDR19,-0.0009528092813930467
0,OPC,-1.0,TMEM192,-0.0009528092813931342
0,OPC,-1.0,TBCCD1,-0.0009528092813934108
0,OPC,-1.0,SLC7A1,-0.0009528092813934872
0,OPC,-1.0,YARS2,-0.000952809281393772
0,OPC,-1.0,ZNF426,-0.0009528092813942617
0,OPC,-1.0,ZPR1,-0.0009528092813943737
0,OPC,-1.0,UBE2H,-0.0009528092813943903
0,OPC,-1.0,SLC10A6,-0.0009528092813945966
0,Oligodendrocyte,1.0,GCAT,11.127059497978799
0,Oligodendrocyte,1.0,HTR1E,10.290292824831722
0,Oligodendrocyte,1.0,HACD1,10.01520627175439
0,Oligodendrocyte,1.0,KATNBL1,9.99113212614657
0,Oligodendrocyte,1.0,LAP3,9.954301544174132
0,Oligodendrocyte,1.0,ITIH4,9.47214249054388
0,Oligodendrocyte,1.0,IVNS1ABP,9.263425771649263
0,Oligodendrocyte,1.0,ENAH,8.980948260326366
0,Oligodendrocyte,1.0,MMP26,8.969287070729639
0,Oligodendrocyte,1.0,HIP1,8.951222173164885
0,Oligodendrocyte,1.0,GALT,8.908086514144486
0,Oligodendrocyte,1.0,FLRT3,8.904026553468388
0,Oligodendrocyte,1.0,INPP1,8.735423932247254
0,Oligodendrocyte,1.0,MCUR1,8.734427459340429
0,Oligodendrocyte,1.0,KCNJ14,8.67432606380011
0,Oligodendrocyte,1.0,HNRNPL,8.667981043007858
0,Oligodendrocyte,1.0,CDC37L1,8.496546497008106
0,Oligodendrocyte,1.0,GPR37,8.23293629531131
0,Oligodendrocyte,1.0,GALNT18,8.207735538522797
0,Oligodendrocyte,1.0,SAP30BP,8.1953244519201
0,Oligodendrocyte,1.0,INTS6L,8.193850503955696
0,Oligodendrocyte,1.0,FOXJ3,7.965628302135834
0,Oligodendrocyte,1.0,NUDT2,7.900725383756515
0,Oligodendrocyte,1.0,MAP4K3,7.888381714386554
0,Oligodendrocyte,1.0,RSAD2,7.513758387303764
0,Oligodendrocyte,1.0,RSPH3,7.507909238090544
0,Oligodendrocyte,1.0,MGST3,7.451825440709103
0,Oligodendrocyte,1.0,GPI,7.450931004094194
0,Oligodendrocyte,1.0,PPT1,7.437992567669536
0,Oligodendrocyte,1.0,DECR1,7.352267597747174
0,Oligodendrocyte,-1.0,TCTN1,-0.04162664887077541
0,Oligodendrocyte,-1.0,PHC1,-0.11089818888448462
0,Oligodendrocyte,-1.0,SLA,-0.11240144293230354
0,Oligodendrocyte,-1.0,PRKCA,-0.14039830314308563
0,Oligodendrocyte,-1.0,NAT10,-0.14039830314308752
0,Oligodendrocyte,-1.0,PTPN7,-0.14039830314309018
0,Oligodendrocyte,-1.0,PPARGC1A,-0.14039830314309187
0,Oligodendrocyte,-1.0,PIK3CD,-0.14039830314309218
0,Oligodendrocyte,-1.0,NKAPD1,-0.14039830314309273
0,Oligodendrocyte,-1.0,MTFR2,-0.14039830314309307
0,Oligodendrocyte,-1.0,NR3C1,-0.1403983031430934
0,Oligodendrocyte,-1.0,PALLD,-0.14039830314309348
0,Oligodendrocyte,-1.0,PRKD1,-0.14039830314309376
0,Oligodendrocyte,-1.0,RHBDF1,-0.1403983031430938
0,Oligodendrocyte,-1.0,PLCXD1,-0.14039830314309434
0,Oligodendrocyte,-1.0,NBPF3,-0.14039830314309565
0,Oligodendrocyte,-1.0,RREB1,-0.14039830314309568
0,Oligodendrocyte,-1.0,NPFF,-0.14039830314309648
0,Oligodendrocyte,-1.0,PTPRU,-0.1403983031430966
0,Oligodendrocyte,-1.0,RFLNB,-0.1403983031430972
0,Oligodendrocyte,-1.0,MUTYH,-0.14039830314309726
0,Oligodendrocyte,-1.0,RNF207,-0.14039830314309767
0,Oligodendrocyte,-1.0,NACAD,-0.14039830314309767
0,Oligodendrocyte,-1.0,PPP1R36,-0.14039830314309776
0,Oligodendrocyte,-1.0,PKN2,-0.14039830314309779
0,Oligodendrocyte,-1.0,PLPP6,-0.14039830314309804
0,Oligodendrocyte,-1.0,PUM3,-0.14039830314309834
0,Oligodendrocyte,-1.0,NFKB1,-0.1403983031430985
0,Oligodendrocyte,-1.0,ROCK2,-0.14039830314309854
0,Oligodendrocyte,-1.0,OXR1,-0.1403983031430989
